year,id,age,rank,male,run_count,years_since_run,time_in_secs,prev_year
2015,4,35,670,1,0,-1,13977,-1
2016,4,35,2390,1,1,1,18810,2015
2016,5,40,2608,0,8,2,19714,2014
2014,5,42,3086,0,7,2,20594,2012
2010,5,38,2455,0,4,1,19744,2009
2008,5,36,2343,0,2,1,19729,2007
2009,5,37,2415,0,3,1,19647,2008
2007,5,35,2002,0,1,1,19572,2006
2011,5,39,3140,0,5,1,19704,2010
2006,5,34,2013,0,0,-1,19772,-1
2012,5,40,3329,0,6,1,19715,2011
2014,7,42,821,1,0,-1,14683,-1
2016,7,40,384,1,1,2,12963,2014
2014,9,52,2023,1,1,2,17376,2012
2012,9,50,1637,1,0,-1,15671,-1
2015,9,50,1281,1,2,1,15606,2014
2016,9,50,2620,1,3,1,19788,2015
2014,11,41,3260,0,0,-1,21525,-1
2015,11,40,2372,0,1,1,19673,2014
2016,11,40,2055,0,2,1,17507,2015
2016,12,20,954,0,0,-1,14443,-1
2016,12,30,588,0,1,0,13575,2016
2016,15,40,2332,1,4,1,18529,2015
2008,15,33,2032,1,0,-1,18143,-1
2015,15,40,2366,1,3,3,19661,2012
2012,15,37,2523,1,2,1,17485,2011
2011,15,36,2706,1,1,3,18074,2008
2015,16,45,1026,1,4,3,14915,2012
2009,16,42,1654,1,0,-1,16654,-1
2012,16,45,1196,1,3,1,14884,2011
2011,16,44,1301,1,2,1,14775,2010
2010,16,43,1021,1,1,1,15340,2009
2016,16,45,1014,1,5,1,14617,2015
2016,18,50,3007,1,1,1,24545,2015
2015,18,50,854,1,0,-1,14415,-1
2011,22,44,1598,0,0,-1,15434,-1
2016,22,45,1150,0,1,5,14984,2011
2016,23,25,1478,0,1,1,15961,2015
2015,23,25,933,0,0,-1,14606,-1
2015,31,45,372,1,0,-1,13110,-1
2016,31,45,313,1,1,1,12657,2015
2011,32,36,1685,1,0,-1,15632,-1
2016,32,35,2996,1,1,5,24194,2011
2016,37,45,1062,1,1,1,14780,2015
2015,37,45,1888,1,0,-1,17373,-1
2016,40,45,266,1,1,3,12531,2013
2013,40,44,779,1,0,-1,12968,-1
2014,41,37,2394,0,0,-1,18324,-1
2016,41,35,1605,0,1,2,16266,2014
2014,45,44,2838,1,0,-1,19761,-1
2015,45,45,1767,1,1,1,16963,2014
2016,45,45,1626,1,2,1,16317,2015
2014,46,46,2172,1,0,-1,17728,-1
2016,46,40,478,1,1,2,13280,2014
2016,50,35,827,1,1,1,14180,2015
2015,50,35,455,1,0,-1,13335,-1
2015,51,50,2344,1,0,-1,19575,-1
2016,51,55,2851,1,1,1,21669,2015
2014,53,48,3474,1,0,-1,23173,-1
2016,53,50,2629,1,1,2,19818,2014
2011,55,39,25,1,0,-1,10174,-1
2016,55,40,17,1,1,5,10635,2011
2016,57,35,1798,1,1,4,16795,2012
2012,57,37,1384,1,0,-1,15221,-1
2007,63,35,1728,0,0,-1,18129,-1
2016,63,40,1256,0,4,4,15282,2012
2010,63,38,1716,0,1,3,17070,2007
2011,63,39,1885,0,2,1,16048,2010
2012,63,40,2191,0,3,1,16758,2011
2014,64,44,572,1,0,-1,14018,-1
2016,64,45,103,1,1,2,11600,2014
2010,66,35,411,0,1,5,13626,2005
2015,66,40,719,0,3,1,14081,2014
2016,66,40,794,0,4,1,14105,2015
2014,66,39,600,0,2,4,14084,2010
2005,66,30,437,0,0,-1,13887,-1
2014,67,46,2578,1,0,-1,18918,-1
2015,67,45,1639,1,1,1,16512,2014
2016,67,45,1349,1,2,1,15565,2015
2004,68,39,631,1,0,-1,14706,-1
2010,68,43,483,1,2,4,13797,2006
2011,68,44,1357,1,3,1,14938,2010
2006,68,41,801,1,1,2,14693,2004
2016,68,45,901,1,5,4,14334,2012
2012,68,45,1995,1,4,1,16357,2011
2013,70,54,3018,1,1,3,15017,2010
2014,70,55,1463,1,2,1,16172,2013
2010,70,51,482,1,0,-1,13795,-1
2015,70,55,1385,1,3,1,15866,2014
2016,70,55,1439,1,4,1,15867,2015
2011,74,41,2320,0,0,-1,17008,-1
2016,74,45,1573,0,2,1,16166,2015
2015,74,45,1835,0,1,4,17175,2011
2016,87,20,2931,1,1,3,22658,2013
2013,87,18,3539,1,0,-1,15336,-1
2013,90,44,2717,1,0,-1,14838,-1
2016,90,25,28,1,1,3,10769,2013
2013,92,33,1786,1,1,9,14127,2004
2013,92,28,1731,1,2,0,14069,2013
2016,92,30,1567,1,3,3,16147,2013
2004,92,42,1612,1,0,-1,20299,-1
2012,94,43,1367,1,3,1,15191,2011
2010,94,41,228,1,1,1,12724,2009
2009,94,40,687,1,0,-1,13939,-1
2015,94,45,2074,1,5,1,18047,2014
2014,94,45,2690,1,4,2,19305,2012
2011,94,42,935,1,2,1,14033,2010
2016,94,45,1990,1,6,1,17326,2015
2008,98,35,980,1,1,1,14902,2007
2009,98,36,1690,1,2,1,16723,2008
2007,98,34,1573,1,0,-1,17566,-1
2010,98,37,1247,1,3,1,15917,2009
2016,98,30,235,1,4,6,12401,2010
2016,105,50,876,1,2,1,14283,2015
2014,105,50,646,1,0,-1,14214,-1
2015,105,50,709,1,1,1,14062,2014
2012,107,49,3208,1,0,-1,19318,-1
2016,107,50,1858,1,1,4,16968,2012
2016,109,30,602,1,1,3,13624,2013
2013,109,30,2139,1,0,-1,14419,-1
2015,110,40,1893,1,0,-1,17384,-1
2016,110,40,2171,1,1,1,17893,2015
2016,112,25,2141,0,1,1,17791,2015
2015,112,25,1561,0,0,-1,16309,-1
2006,123,38,417,1,0,-1,13367,-1
2016,123,45,789,1,4,1,14094,2015
2007,123,39,300,1,1,1,13336,2006
2010,123,42,551,1,2,3,13979,2007
2015,123,45,278,1,3,5,12814,2010
2015,132,30,2161,0,0,-1,18581,-1
2016,132,35,2179,0,1,1,17916,2015
2016,133,55,2161,1,1,1,17867,2015
2015,133,55,2119,1,0,-1,18277,-1
2015,134,30,889,1,0,-1,14488,-1
2016,134,35,762,1,1,1,14044,2015
2016,135,50,1227,1,1,1,15206,2015
2015,135,50,1434,1,0,-1,15987,-1
2011,137,34,2068,0,0,-1,16468,-1
2016,137,35,1255,0,1,5,15282,2011
2015,138,50,1917,0,1,1,17508,2014
2014,138,50,1357,0,0,-1,15975,-1
2016,138,50,1319,0,2,1,15477,2015
2015,141,30,1124,0,2,1,15198,2014
2016,141,30,2145,0,3,1,17808,2015
2010,141,25,2795,0,0,-1,22787,-1
2014,141,29,3218,0,1,4,21333,2010
2016,142,35,192,1,1,2,12165,2014
2014,142,33,159,1,0,-1,12408,-1
2014,144,39,1838,1,0,-1,16953,-1
2015,144,40,1373,1,1,1,15852,2014
2016,144,40,1525,1,2,1,16060,2015
2011,145,41,2337,0,1,1,17041,2010
2016,145,45,2068,0,3,4,17535,2012
2012,145,42,2003,0,2,1,16383,2011
2010,145,40,1963,0,0,-1,17781,-1
2016,151,50,1258,1,4,1,15291,2015
2012,151,50,1481,1,2,1,15413,2011
2011,151,49,1716,1,1,1,15705,2010
2015,151,50,1018,1,3,3,14868,2012
2010,151,48,1718,1,0,-1,17075,-1
2016,154,35,1759,0,1,1,16699,2015
2015,154,35,2070,0,0,-1,18022,-1
2010,158,41,1831,1,0,-1,17385,-1
2011,158,42,1822,1,1,1,15916,2010
2016,158,45,1208,1,3,2,15146,2014
2014,158,45,1725,1,2,3,16719,2011
2011,163,57,2510,1,3,1,17512,2010
2016,163,60,2229,1,6,1,18091,2015
2008,163,54,2151,1,0,-1,18716,-1
2015,163,60,1963,1,5,1,17673,2014
2010,163,56,1211,1,2,1,15809,2009
2014,163,60,2913,1,4,3,20011,2011
2009,163,55,1353,1,1,1,15765,2008
2014,165,52,2182,1,0,-1,17756,-1
2015,165,50,1605,1,1,1,16423,2014
2016,165,50,1446,1,2,1,15892,2015
2014,168,39,1899,0,0,-1,17123,-1
2016,168,40,1724,0,1,2,16613,2014
2016,169,45,479,0,1,1,13283,2015
2015,169,45,365,0,0,-1,13081,-1
2015,170,45,2681,1,0,-1,23086,-1
2016,170,45,2462,1,1,1,19088,2015
2009,177,25,601,1,0,-1,13697,-1
2010,177,26,224,1,1,1,12703,2009
2012,177,28,159,1,2,2,11910,2010
2014,177,30,222,1,3,2,12753,2012
2016,177,30,217,1,4,2,12325,2014
2016,178,35,26,1,1,1,10750,2015
2015,178,35,35,1,0,-1,10794,-1
2016,180,40,2943,0,3,1,22857,2015
2015,180,40,2740,0,2,1,25125,2014
2012,180,40,3654,0,0,-1,21393,-1
2014,180,42,3407,0,1,2,22487,2012
2016,193,40,110,1,1,11,11666,2005
2005,193,33,822,1,0,-1,15342,-1
2016,194,50,617,1,1,3,13652,2013
2013,194,48,1825,1,0,-1,14160,-1
2016,195,60,2865,1,3,1,21776,2015
2014,195,58,2796,1,0,-1,19626,-1
2014,195,28,2796,1,1,0,19626,2014
2015,195,55,1487,1,2,1,16144,2014
2016,196,40,1401,1,2,1,15752,2015
2014,196,40,1566,1,0,-1,16380,-1
2015,196,40,1495,1,1,1,16158,2014
2015,198,50,1339,1,1,2,15772,2013
2013,198,50,2866,1,0,-1,14938,-1
2016,198,50,1074,1,2,1,14817,2015
2016,201,50,1347,0,1,3,15558,2013
2013,201,47,3595,0,0,-1,15382,-1
2014,202,42,269,1,0,-1,12979,-1
2016,202,40,405,1,1,2,13035,2014
2015,205,30,602,1,1,1,13798,2014
2014,205,33,2103,1,0,-1,17552,-1
2016,205,35,1207,1,2,1,15146,2015
2014,212,45,30,1,0,-1,10837,-1
2016,212,45,49,1,1,2,10990,2014
2016,214,60,1176,0,4,1,15064,2015
2015,214,60,1107,0,3,1,15132,2014
2012,214,57,1478,0,1,6,15401,2006
2006,214,50,1526,0,0,-1,17249,-1
2014,214,59,1134,0,2,2,15440,2012
2016,221,60,3033,0,1,7,25603,2009
2009,221,53,2755,0,0,-1,24431,-1
2015,226,45,384,1,0,-1,13138,-1
2016,226,45,427,1,1,1,13107,2015
2016,234,35,370,1,1,9,12897,2007
2007,234,26,478,1,0,-1,14022,-1
2016,240,20,436,0,1,3,13128,2013
2013,240,19,523,0,0,-1,12520,-1
2009,248,34,23,1,1,3,10373,2006
2011,248,36,166,1,3,1,11693,2010
2016,248,40,67,1,4,5,11158,2011
2010,248,35,105,1,2,1,11816,2009
2006,248,31,47,1,0,-1,10731,-1
2015,252,45,1381,0,4,1,15860,2014
2009,252,42,1159,0,0,-1,15273,-1
2011,252,44,2353,0,1,2,17074,2009
